key,en,pt_br,jp
MENU_SETTING_VERY_HIGH,Very High,Muito alto,最高
MENU_TITLE_GAME_NAME,Dis Game Has No Name!,Este Jogo Num Tem Nome!,このゲームは名前ありません!
MENU_TITLE_MERCHANT,Merchant,Mercador,商人
MENU_TITLE_PROFIT,Profit,Lucro,利益
MENU_TITLE_SOLD_ITEMS,Sold Items,Items Vendidos,販売アイテム
MENU_TITLE_STORE,Open the Store,Abrir a Loja,店開きます
MENU_TITLE_STORE_DEBRIEF,Store Results,Resultado das Vendas,販売実績
MENU_VERSION,Version,Versão,バージョン
MENU_VERSION_DEMO,Demo,Demo,デモ
MENU_VERSION_FREE,Free,Grátis,無料版
MENU_VERSION_FULL,Full,Completo,完全版
MENU_VERSION_LITE,Lite,Lite,Lite版
MENU_VERSION_PREMIUM,Premium,Premium,プレミアム
MENU_VERSION_SHAREWARE,Shareware,Shareware,シェアウェア
MENU_VERSION_TRIAL,Trial,Teste,体験版
MENU_VR_COMFORT_MODE,VR comfort mode,Zona de Conforto RV,VR向けモード
MENU_VR_HMD_ORIENT_RESET,HMD orientation reset,Reiniciar orientação HMD,HMDの画面位置設定をリセット
MENU_VR_VIRTUAL_REALITY,Virtual Reality,Realidade Virtual,バーチャルリアリティ
